record-id,record-type,month,day,year,hour,minute,second,reading-type,error/unknown,value,arrow,error
493,2,11,7,17,6,45,16,2,0,90,3,0
465,2,11,7,17,0,5,7,2,0,86,3,0
431,2,11,5,17,18,16,42,2,0,87,3,0
419,2,11,5,17,15,41,57,2,0,80,3,0
386,2,11,5,17,0,9,35,2,0,78,3,0
353,2,11,4,17,5,59,37,2,0,115,4,0
320,2,11,3,17,15,57,11,2,0,73,3,0
310,2,11,3,17,14,10,33,2,0,87,3,0
302,2,11,3,17,12,41,5,2,0,123,3,0
300,2,11,3,17,12,33,45,2,0,124,4,0
267,2,11,2,17,13,48,24,2,0,82,3,0
239,2,11,2,17,7,21,51,2,0,113,4,0
210,2,11,2,17,0,38,42,2,0,95,3,0
191,2,11,1,17,20,22,38,2,0,84,3,0
189,2,11,1,17,20,12,21,2,0,93,3,0
186,2,11,1,17,20,7,32,2,0,100,3,0
180,2,11,1,17,19,4,25,2,0,93,3,0
158,2,11,1,17,13,57,46,2,0,81,3,0
131,2,11,1,17,7,46,44,2,0,74,4,0
127,2,11,1,17,7,17,6,2,0,62,3,0
118,2,11,1,17,5,33,33,2,0,77,3,0
114,2,11,1,17,5,0,2,2,0,90,3,0
104,2,11,1,17,2,55,53,2,0,93,3,0
99,2,11,1,17,2,8,6,2,0,65,3,0
96,2,11,1,17,1,59,6,2,0,60,2,0
92,2,11,1,17,1,30,59,2,0,84,3,0
